Actor,Gender,Year,Film,Role,Notes,justification,primary_genre,nationalist_sentiments,justification_from_genre,primary_genre_final
Alia Bhatt,Female,2022,RRR,Sita,Telugu film; Cameo appearance,Epic action spectacle with larger-than-life heroic feats and adventure,Action/Adventure,yes,Alia Bhatt's epic action spectacle with larger-than-life heroic feats and adventure,Action/Adventure
Alia Bhatt,Female,2022,Darlings,Badru Qureshi,Also producer,Dark comedy-drama about domestic violence with serious themes,Drama/Serious,no,Alia Bhatt's dark comedy-drama about domestic violence with serious themes,Drama/Serious
Alia Bhatt,Female,2022,Brahmāstra: Part One – Shiva,Isha Chatterjee,,Fantasy action film with supernatural powers and mystical elements,Fantasy/Sci-Fi/Horror,yes,Alia Bhatt's fantasy action film with supernatural powers and mystical elements,Fantasy/Sci-Fi/Horror
Alia Bhatt,Female,2023,Rocky Aur Rani Kii Prem Kahaani,Rani Chatterjee,,Romantic family drama where love story drives the narrative,Romance,no,Alia Bhatt's romantic family drama where love story drives the narrative,Romance
Alia Bhatt,Female,2023,Heart of Stone,Keya Dhawan,American film,Action spy thriller with spectacular stunts and international espionage,Action/Adventure,no,Alia Bhatt's action spy thriller with spectacular stunts and international espionage,Action/Adventure
Alia Bhatt,Female,2024,Jigra,Satyabhama Anand,Also producer,Action thriller about sister rescuing brother with confrontational sequences,Action/Adventure,no,Alia Bhatt's action thriller about sister rescuing brother with confrontational sequences,Action/Adventure
Alia Bhatt,Female,2025,Alpha †,TBA,Post-production,Action thriller with spectacular stunts and confrontational sequences,Action/Adventure,NA,Alia Bhatt's action thriller with spectacular stunts and confrontational sequences,Action/Adventure
Rani Mukherji,Female,1996,Biyer Phool,Mili Chatterjee,Bengali film,Romantic drama where love story drives the narrative,Romance,no,Rani Mukherji's romantic drama where love story drives the narrative,Romance
Rani Mukherji,Female,1996,Raja Ki Aayegi Baaraat,Mala,Credited as Ranee,Romantic comedy with love story and humorous elements,Romance,no,Rani Mukherji's romantic comedy with love story and humorous elements,Romance
Rani Mukherji,Female,1998,Ghulam,Alisha,,Action drama with moral awakening through confrontational sequences,Action/Adventure,no,Rani Mukherji's action drama with moral awakening through confrontational sequences,Action/Adventure
Rani Mukherji,Female,1998,Kuch Kuch Hota Hai,Tina Malhotra,,Romantic drama with friendship and love as central driving force,Romance,no,Rani Mukherji's romantic drama with friendship and love as central driving force,Romance
Rani Mukherji,Female,1998,Mehndi,Pooja,,Romantic drama where love story is the central theme,Romance,no,Rani Mukherji's romantic drama where love story is the central theme,Romance
Rani Mukherji,Female,1999,Hello Brother,Rani,,Action comedy combining fight sequences with humor,Action/Adventure,no,Rani Mukherji's action comedy combining fight sequences with humor,Comedy
Rani Mukherji,Female,2000,Badal,Rani,,Action thriller about revenge with intense confrontational sequences,Action/Adventure,no,Rani Mukherji's action thriller about revenge with intense confrontational sequences,Action/Adventure
Rani Mukherji,Female,2000,Hey Ram,Aparna Ram,Bilingual film (Tamil and Hindi),Serious historical drama about partition and Gandhi's assassination,Drama/Serious,yes,Rani Mukherji's serious historical drama about partition and Gandhi's assassination,Drama/Serious
Rani Mukherji,Female,2000,Hadh Kar Di Aapne,Anjali Khanna,,Comedy with humorous situations and entertainment focus,Comedy,no,Rani Mukherji's comedy with humorous situations and entertainment focus,Comedy
Rani Mukherji,Female,2000,Bichhoo,Kiran Bali,,Action thriller about hitman with confrontational sequences,Action/Adventure,no,Rani Mukherji's action thriller about hitman with confrontational sequences,Thriller/Crime
Rani Mukherji,Female,2000,Har Dil Jo Pyar Karega,Pooja Oberoi,,Romantic comedy about man pretending to be accident victim's fiancé,Romance,no,Rani Mukherji's romantic comedy about man pretending to be accident victim's fiancé,Romance
Rani Mukherji,Female,2000,Kahin Pyaar Na Ho Jaaye,Priya Sharma,,Romantic comedy with love story and comedic elements,Romance,no,Rani Mukherji's romantic comedy with love story and comedic elements,Romance
Rani Mukherji,Female,2001,Chori Chori Chupke Chupke,Priya Malhotra,,Romantic drama about surrogacy with love story as core,Romance,no,Rani Mukherji's romantic drama about surrogacy with love story as core,Drama/Serious
Rani Mukherji,Female,2001,Bas Itna Sa Khwaab Hai,Pooja Shrivastav,,Romantic drama where love story drives the narrative,Romance,no,Rani Mukherji's romantic drama where love story drives the narrative,Romance
Rani Mukherji,Female,2001,Nayak: The Real Hero,Manjari,,Political drama about journalist becoming chief minister,Drama/Serious,yes,Rani Mukherji's political drama about journalist becoming chief minister,Drama/Serious
Rani Mukherji,Female,2002,Pyaar Diwana Hota Hai,Payal Khurana,,Romantic drama with love story as central theme,Romance,no,Rani Mukherji's romantic drama with love story as central theme,Romance
Rani Mukherji,Female,2002,Mujhse Dosti Karoge!,Pooja Sahani,,Romantic drama about friendship and love triangle,Romance,no,Rani Mukherji's romantic drama about friendship and love triangle,Romance
Rani Mukherji,Female,2002,Saathiya,Dr. Suhani Sharma Sehgal,,Romantic drama about young marriage with love and emotional themes,Romance,no,Rani Mukherji's romantic drama about young marriage with love and emotional themes,Romance
Rani Mukherji,Female,2002,Chalo Ishq Ladaaye,Sapna,,Romantic comedy with love story and humorous elements,Romance,no,Rani Mukherji's romantic comedy with love story and humorous elements,Romance
Rani Mukherji,Female,2003,Chalte Chalte,Priya Chopra Mathur,,Romantic drama about marriage and relationship challenges,Romance,no,Rani Mukherji's romantic drama about marriage and relationship challenges,Romance
Rani Mukherji,Female,2003,Chori Chori,Khushi Malhotra,,Romantic comedy with love story enhanced by humor,Romance,no,Rani Mukherji's romantic comedy with love story enhanced by humor,Romance
Rani Mukherji,Female,2003,Calcutta Mail,Bulbul / Reema,,Thriller about train journey with suspense and mystery,Thriller/Crime,no,Rani Mukherji's thriller about train journey with suspense and mystery,Thriller/Crime
Rani Mukherji,Female,2003,LOC: Kargil,Hema,,War action film about Kargil conflict with battle sequences,Action/Adventure,NA,Rani Mukherji's war action film about Kargil conflict with battle sequences,Action/Adventure
Rani Mukherji,Female,2004,Yuva,Shashi Biswas,,Political drama about youth and politics with serious themes,Drama/Serious,no,Rani Mukherji's political drama about youth and politics with serious themes,Drama/Serious
Rani Mukherji,Female,2004,Hum Tum,Rhea Prakash,,Romantic comedy about evolving relationship with humor and love,Romance,no,Rani Mukherji's romantic comedy about evolving relationship with humor and love,Romance
Rani Mukherji,Female,2004,Veer-Zaara,Saamiya Siddiqui,,Cross-border romance with love transcending national boundaries,Romance,yes,Rani Mukherji's cross-border romance with love transcending national boundaries,Romance
Rani Mukherji,Female,2005,Black,Michelle McNally,,Drama about blind-deaf girl with serious emotional themes,Drama/Serious,no,Rani Mukherji's drama about blind-deaf girl with serious emotional themes,Drama/Serious
Rani Mukherji,Female,2005,Bunty Aur Babli,"Vimmi ""Babli"" Saluja",,Comedy about con artists with humorous heist situations,Comedy,no,Rani Mukherji's comedy about con artists with humorous heist situations,Comedy
Rani Mukherji,Female,2005,Paheli,Lachchi Bhanwarlal,,Fantasy romance with supernatural elements and mystical themes,Fantasy/Sci-Fi/Horror,no,Rani Mukherji's fantasy romance with supernatural elements and mystical themes,Fantasy/Sci-Fi/Horror
Rani Mukherji,Female,2005,Mangal Pandey: The Rising,Heera,,Historical action drama about 1857 revolt with battle sequences,Action/Adventure,yes,Rani Mukherji's historical action drama about 1857 revolt with battle sequences,Drama/Serious
Rani Mukherji,Female,2006,Kabhi Alvida Naa Kehna,Maya Talwar,,Romantic drama exploring extramarital relationships,Romance,no,Rani Mukherji's romantic drama exploring extramarital relationships,Romance
Rani Mukherji,Female,2006,Baabul,"Malvika ""Milli"" Talwar Kapoor",,Family drama about widow remarriage with serious emotional themes,Drama/Serious,no,Rani Mukherji's family drama about widow remarriage with serious emotional themes,Drama/Serious
Rani Mukherji,Female,2007,Ta Ra Rum Pum,Radhika (Shona),,Family drama about racing driver with serious life challenges,Drama/Serious,no,Rani Mukherji's family drama about racing driver with serious life challenges,Drama/Serious
Rani Mukherji,Female,2007,Laaga Chunari Mein Daag,Vibhavari / Natasha,,Drama about prostitution with serious social themes,Drama/Serious,no,Rani Mukherji's drama about prostitution with serious social themes,Drama/Serious
Rani Mukherji,Female,2007,Saawariya,Gulab,,Romantic musical about unrequited love with emotional themes,Romance,no,Rani Mukherji's romantic musical about unrequited love with emotional themes,Romance
Rani Mukherji,Female,2008,Thoda Pyaar Thoda Magic,Geeta,,Fantasy romance with supernatural elements and love story,Fantasy/Sci-Fi/Horror,no,Rani Mukherji's fantasy romance with supernatural elements and love story,Fantasy/Sci-Fi/Horror
Rani Mukherji,Female,2009,Dil Bole Hadippa!,Veera Kaur / Veer Pratap Singh,,Romantic comedy about cricket with love story and humor,Romance,no,Rani Mukherji's romantic comedy about cricket with love story and humor,Romance
Rani Mukherji,Female,2011,No One Killed Jessica,Meera Gaity,,Crime thriller about murder investigation with social justice themes,Thriller/Crime,no,Rani Mukherji's crime thriller about murder investigation with social justice themes,Thriller/Crime
Rani Mukherji,Female,2012,Aiyyaa,Meenakshi Deshpande,,Romantic comedy with quirky humor and love story,Romance,no,Rani Mukherji's romantic comedy with quirky humor and love story,Romance
Rani Mukherji,Female,2012,Talaash: The Answer Lies Within,Roshni Shekhawat,,Mystery thriller about police investigation with supernatural elements,Thriller/Crime,no,Rani Mukherji's mystery thriller about police investigation with supernatural elements,Thriller/Crime
Rani Mukherji,Female,2013,Bombay Talkies,Gayatri,Segment: Ajeeb Dastaan Hai Yeh,Drama anthology about cinema with serious themes,Drama/Serious,no,Rani Mukherji's drama anthology about cinema with serious themes,Drama/Serious
Rani Mukherji,Female,2014,Mardaani,Shivani Shivaji Roy,,Crime thriller about human trafficking with investigation elements,Thriller/Crime,no,Rani Mukherji's crime thriller about human trafficking with investigation elements,Thriller/Crime
Rani Mukherji,Female,2018,Hichki,Naina Mathur,,Drama about teacher with Tourette's syndrome and serious themes,Drama/Serious,no,Rani Mukherji's drama about teacher with Tourette's syndrome and serious themes,Drama/Serious
Rani Mukherji,Female,2019,Mardaani 2,Shivani Shivaji Roy,,Crime thriller sequel about rape investigation with suspense,Thriller/Crime,no,Rani Mukherji's crime thriller sequel about rape investigation with suspense,Thriller/Crime
Rani Mukherji,Female,2021,Bunty Aur Babli 2,"Vimmi ""Babli"" Trivedi",,Comedy sequel about con artists with humorous situations,Comedy,no,Rani Mukherji's comedy sequel about con artists with humorous situations,Comedy
Rani Mukherji,Female,2023,Mrs. Chatterjee vs Norway,Debika Chatterjee,,Drama about custody battle with serious emotional themes,Drama/Serious,no,Rani Mukherji's drama about custody battle with serious emotional themes,Drama/Serious
Rani Mukherji,Female,2026,King †,TBA,Filming,Action thriller with spectacular stunts and confrontational sequences,Action/Adventure,NA,Rani Mukherji's action thriller with spectacular stunts and confrontational sequences,Action/Adventure
Rani Mukherji,Female,2026,Mardaani 3 †,Shivani Shivaji Roy,Filming,Crime thriller about investigation with suspense and mystery,Thriller/Crime,NA,Rani Mukherji's crime thriller about investigation with suspense and mystery,Thriller/Crime
Kiara Advani,Female,2014,Fugly,Devika Sharma,,Action drama about friendship and corruption with confrontational sequences,Action/Adventure,no,Kiara Advani's action drama about friendship and corruption with confrontational sequences,Drama/Serious
Kiara Advani,Female,2016,M.S. Dhoni: The Untold Story,Sakshi Rawat,,Biographical sports drama about cricketer with serious themes,Drama/Serious,yes,Kiara Advani's biographical sports drama about cricketer with serious themes,Drama/Serious
Kiara Advani,Female,2017,Machine,Sarah Thapar,,Action thriller with spectacular stunts and confrontational sequences,Action/Adventure,no,Kiara Advani's action thriller with spectacular stunts and confrontational sequences,Action/Adventure
Kiara Advani,Female,2018,Bharat Ane Nenu,Vasumathi,Telugu film,Political drama about chief minister with serious themes,Drama/Serious,no,Kiara Advani's political drama about chief minister with serious themes,Drama/Serious
Kiara Advani,Female,2018,Lust Stories,Megha Upadhyay,Karan Johar's segment,Drama anthology exploring relationships and sexuality,Drama/Serious,no,Kiara Advani's drama anthology exploring relationships and sexuality,Romance
Kiara Advani,Female,2019,Vinaya Vidheya Rama,Seetha,Telugu film,Action drama with spectacular fight sequences and confrontations,Action/Adventure,no,Kiara Advani's action drama with spectacular fight sequences and confrontations,Action/Adventure
Kiara Advani,Female,2019,Kabir Singh,Preeti Sikka,,Romantic drama exploring obsessive love with intense emotional themes,Romance,no,Kiara Advani's romantic drama exploring obsessive love with intense emotional themes,Romance
Kiara Advani,Female,2019,Good Newwz,Monika Batra,,Comedy about IVF mix-up with humorous situations and family themes,Comedy,no,Kiara Advani's comedy about IVF mix-up with humorous situations and family themes,Comedy
Kiara Advani,Female,2020,Guilty,Nanki Dutta,,Drama about sexual assault with serious social themes,Drama/Serious,no,Kiara Advani's drama about sexual assault with serious social themes,Drama/Serious
Kiara Advani,Female,2020,Laxmii,Rashmi Rajput,,Horror comedy with supernatural elements and humor,Fantasy/Sci-Fi/Horror,no,Kiara Advani's horror comedy with supernatural elements and humor,Fantasy/Sci-Fi/Horror
Kiara Advani,Female,2020,Indoo Ki Jawani,Indoo Gupta,,Comedy about dating apps with humorous situations,Comedy,no,Kiara Advani's comedy about dating apps with humorous situations,Comedy
Kiara Advani,Female,2021,Shershaah,Dimple Cheema,,Biographical war drama about Kargil hero with serious themes,Drama/Serious,yes,Kiara Advani's biographical war drama about Kargil hero with serious themes,Action/Adventure
Kiara Advani,Female,2022,Bhool Bhulaiyaa 2,Reet Thakur,,Horror comedy sequel with supernatural elements and humor,Fantasy/Sci-Fi/Horror,no,Kiara Advani's horror comedy sequel with supernatural elements and humor,Fantasy/Sci-Fi/Horror
Kiara Advani,Female,2022,Jugjugg Jeeyo,Nainaa Sharma,,Family comedy-drama about relationships with humor and emotional themes,Comedy,no,Kiara Advani's family comedy-drama about relationships with humor and emotional themes,Drama/Serious
Kiara Advani,Female,2022,Govinda Naam Mera,Suku Shetty,,Comedy thriller with humor and mystery elements,Comedy,no,Kiara Advani's comedy thriller with humor and mystery elements,Comedy
Kiara Advani,Female,2023,Satyaprem Ki Katha,Katha Kapadia,,Romantic drama about love and social issues with emotional themes,Romance,no,Kiara Advani's romantic drama about love and social issues with emotional themes,Romance
Kiara Advani,Female,2025,Game Changer,Deepika,Telugu film,Action political thriller with spectacular sequences and confrontations,Action/Adventure,no,Kiara Advani's action political thriller with spectacular sequences and confrontations,Action/Adventure
Kiara Advani,Female,2025,War 2,Kavya Luthra,,Action thriller sequel with spectacular stunts and espionage,Action/Adventure,yes,Kiara Advani's action thriller sequel with spectacular stunts and espionage,Action/Adventure
Kiara Advani,Female,2026,Toxic: A Fairy Tale for Grown-Ups †,TBA,Bilingual film; Filming,Thriller with dark themes and psychological elements,Thriller/Crime,NA,Kiara Advani's thriller with dark themes and psychological elements,Thriller/Crime
Kajol,Female,1992,Bekhudi,Radhika,,Romantic drama where love story drives the narrative,Romance,no,Kajol's romantic drama where love story drives the narrative,Romance
Kajol,Female,1993,Baazigar,Priya Chopra,,Thriller about revenge and deception with psychological manipulation,Thriller/Crime,no,Kajol's thriller about revenge and deception with psychological manipulation,Thriller/Crime
Kajol,Female,1994,Yeh Dillagi,Sapna,,Romantic comedy about love triangle with humor and romance,Romance,no,Kajol's romantic comedy about love triangle with humor and romance,Romance
Kajol,Female,1994,Udhaar Ki Zindagi,Sita,,Drama about debt and family struggles with serious themes,Drama/Serious,no,Kajol's drama about debt and family struggles with serious themes,Drama/Serious
Kajol,Female,1995,Karan Arjun,Sonia Saxena,,Reincarnation action drama with spectacular fight sequences,Action/Adventure,no,Kajol's reincarnation action drama with spectacular fight sequences,Action/Adventure
Kajol,Female,1995,Taaqat,Kavita,,Action drama with fight sequences and confrontational elements,Action/Adventure,no,Kajol's action drama with fight sequences and confrontational elements,Action/Adventure
Kajol,Female,1995,Hulchul,Sharmili Sinha,,Comedy about family feuds with humorous situations,Comedy,no,Kajol's comedy about family feuds with humorous situations,Comedy
Kajol,Female,1995,Gundaraj,Ritu,,Action drama with crime and confrontational sequences,Action/Adventure,no,Kajol's action drama with crime and confrontational sequences,Action/Adventure
Kajol,Female,1995,Dilwale Dulhania Le Jayenge,Simran Singh,,Iconic romance about love overcoming cultural barriers,Romance,no,Kajol's iconic romance about love overcoming cultural barriers,Romance
Kajol,Female,1996,Bambai Ka Babu,Neha,,Comedy about rural man in Mumbai with humorous situations,Comedy,no,Kajol's comedy about rural man in Mumbai with humorous situations,Drama/Serious
Kajol,Female,1997,Minsara Kanavu,Priya Amalraj,Tamil film,Romantic drama where love story drives the narrative,Romance,no,Kajol's romantic drama where love story drives the narrative,Romance
Kajol,Female,1997,Gupt,Isha Diwan,,Murder mystery thriller with investigation and psychological tension,Thriller/Crime,no,Kajol's murder mystery thriller with investigation and psychological tension,Thriller/Crime
Kajol,Female,1997,Hameshaa,Rani Sharma / Reshma,Dual role,Romantic drama exploring eternal love with emotional themes,Romance,no,Kajol's romantic drama exploring eternal love with emotional themes,Romance
Kajol,Female,1997,Ishq,Kajal Jindal,,Romantic comedy with dual couples featuring love stories,Romance,no,Kajol's romantic comedy with dual couples featuring love stories,Romance
Kajol,Female,1998,Pyaar Kiya To Darna Kya,Muskaan Thakur,,Romantic film where love story overcomes family opposition,Romance,no,Kajol's romantic film where love story overcomes family opposition,Romance
Kajol,Female,1998,Dushman,Naina / Sonia Sehgal,Dual role,Thriller about rape and revenge with psychological tension,Thriller/Crime,no,Kajol's thriller about rape and revenge with psychological tension,Thriller/Crime
Kajol,Female,1998,Pyaar To Hona Hi Tha,Sanjana Patel,,Romantic comedy with love story enhanced by comedic elements,Romance,no,Kajol's romantic comedy with love story enhanced by comedic elements,Romance
Kajol,Female,1998,Kuch Kuch Hota Hai,Anjali Sharma,,Romantic drama with friendship and love as central driving force,Romance,no,Kajol's romantic drama with friendship and love as central driving force,Romance
Kajol,Female,1999,Dil Kya Kare,Nandita Rai,,Romantic drama about love triangle with emotional complications,Romance,no,Kajol's romantic drama about love triangle with emotional complications,Romance
Kajol,Female,1999,Hum Aapke Dil Mein Rehte Hain,Megha Verma,,Romantic drama where love story drives character development,Romance,no,Kajol's romantic drama where love story drives character development,Romance
Kajol,Female,1999,Hote Hote Pyar Ho Gaya,Pinky,,Romantic comedy with love story and humorous elements,Romance,no,Kajol's romantic comedy with love story and humorous elements,Romance
Kajol,Female,2000,Raju Chacha,Sanjana Bakshi / Anna,Dual identity,Family comedy with uncle caring for nephews and humor,Comedy,no,Kajol's family comedy with uncle caring for nephews and humor,Drama/Serious
Kajol,Female,2001,Kuch Khatti Kuch Meethi,Sweety / Tina Khanna,Dual role,Family drama about sisters with emotional relationships,Drama/Serious,no,Kajol's family drama about sisters with emotional relationships,Drama/Serious
Kajol,Female,2001,Kabhi Khushi Kabhie Gham...,Anjali Sharma Raichand,,Family drama about relationships and traditional values across generations,Drama/Serious,no,Kajol's family drama about relationships and traditional values across generations,Drama/Serious
Kajol,Female,2006,Fanaa,Zooni Ali Beg,Also playback singer,Romantic thriller about love and terrorism with emotional intensity,Romance,no,Kajol's romantic thriller about love and terrorism with emotional intensity,Romance
Kajol,Female,2008,U Me Aur Hum,Piya Mehra,,Romantic drama about Alzheimer's with love and serious themes,Romance,no,Kajol's romantic drama about Alzheimer's with love and serious themes,Romance
Kajol,Female,2010,My Name Is Khan,Mandira Rathod Khan,,Drama about autism and discrimination with serious social themes,Drama/Serious,no,Kajol's drama about autism and discrimination with serious social themes,Drama/Serious
Kajol,Female,2010,We Are Family,Maya,,Family drama about relationships with serious emotional themes,Drama/Serious,no,Kajol's family drama about relationships with serious emotional themes,Drama/Serious
Kajol,Female,2010,Toonpur Ka Superhero,Priya Verma Kumar,Animated film,Fantasy comedy for children with supernatural elements,Fantasy/Sci-Fi/Horror,no,Kajol's fantasy comedy for children with supernatural elements,Fantasy/Sci-Fi/Horror
Kajol,Female,2015,Dilwale,Meera Malik,,Romantic action where love story drives the narrative despite action,Romance,no,Kajol's romantic action where love story drives the narrative despite action,Romance
Kajol,Female,2017,Velaiilla Pattadhari 2,Vasundhara Parameshwar,Tamil film,Action comedy with engineering theme and humor,Action/Adventure,no,Kajol's action comedy with engineering theme and humor,Action/Adventure
Kajol,Female,2018,Helicopter Eela,Eela Raiturkar,,Drama about overprotective mother with serious family themes,Drama/Serious,no,Kajol's drama about overprotective mother with serious family themes,Drama/Serious
Kajol,Female,2020,Tanhaji,Savitri Bai,,Historical action film about Maratha warrior with battle sequences,Action/Adventure,yes,Kajol's historical action film about Maratha warrior with battle sequences,Action/Adventure
Kajol,Female,2021,Tribhanga,Anuradha Apte,,Family drama about three generations of women with serious themes,Drama/Serious,no,Kajol's family drama about three generations of women with serious themes,Drama/Serious
Kajol,Female,2022,Salaam Venky,Kolavennu Sujata Krishnan,,Drama about mother and terminally ill son with emotional themes,Drama/Serious,no,Kajol's drama about mother and terminally ill son with emotional themes,Drama/Serious
Kajol,Female,2023,Lust Stories 2,Devyani Singh,"Segment: ""Tilchatta""",Drama anthology exploring relationships and sexuality,Drama/Serious,no,Kajol's drama anthology exploring relationships and sexuality,Romance
Kajol,Female,2024,Do Patti,Vidya Jyothi Kanwar,,Thriller about twin sisters with mystery and suspense,Thriller/Crime,no,Kajol's thriller about twin sisters with mystery and suspense,Thriller/Crime
Kajol,Female,2025,Maa,Ambika,,Family drama about motherhood with serious emotional themes,Drama/Serious,no,Kajol's family drama about motherhood with serious emotional themes,Drama/Serious
Kajol,Female,2025,Sarzameen,Meher Menon,,Drama with serious themes about homeland and identity,Drama/Serious,yes,Kajol's drama with serious themes about homeland and identity,Drama/Serious
Kajol,Female,2026,Maharagni: Queen of Queens †,Maya,,Historical drama about queen with serious themes,Drama/Serious,NA,Kajol's historical drama about queen with serious themes,Action/Adventure
Shraddha Kapoor,Female,2010,Teen Patti,Aparna Khanna,,Thriller about gambling addiction with psychological themes,Thriller/Crime,no,Shraddha Kapoor's thriller about gambling addiction with psychological themes,Thriller/Crime
Shraddha Kapoor,Female,2011,Luv Ka The End,Rhea Dialdas,,Romantic comedy about teenage love with humor,Romance,no,Shraddha Kapoor's romantic comedy about teenage love with humor,Romance
Shraddha Kapoor,Female,2013,Aashiqui 2,Aarohi Keshav Shirke,,Romantic musical drama about love and music with emotional intensity,Romance,no,Shraddha Kapoor's romantic musical drama about love and music with emotional intensity,Romance
Shraddha Kapoor,Female,2014,Ek Villain,Aisha Verma,,Romantic thriller about love and revenge with emotional intensity,Romance,no,Shraddha Kapoor's romantic thriller about love and revenge with emotional intensity,Romance
Shraddha Kapoor,Female,2014,Haider,Arshia Lone,,Crime drama adaptation of Hamlet with serious psychological themes,Drama/Serious,no,Shraddha Kapoor's crime drama adaptation of Hamlet with serious psychological themes,Drama/Serious
Shraddha Kapoor,Female,2015,ABCD 2,"Vinita ""Vinnie"" Sharma",,Dance drama about street dancers with serious themes about dreams,Drama/Serious,no,Shraddha Kapoor's dance drama about street dancers with serious themes about dreams,Drama/Serious
Shraddha Kapoor,Female,2016,Baaghi,Siya Khurana,,Action romance where love story drives the narrative with martial arts,Romance,no,Shraddha Kapoor's action romance where love story drives the narrative with martial arts,Action/Adventure
Shraddha Kapoor,Female,2016,Rock On 2,Jiah Sharma,,Musical drama about band reunion with serious themes,Drama/Serious,no,Shraddha Kapoor's musical drama about band reunion with serious themes,Drama/Serious
Shraddha Kapoor,Female,2017,Ok Jaanu,Tara Agnihotri,,Romantic drama about live-in relationship with love story,Romance,no,Shraddha Kapoor's romantic drama about live-in relationship with love story,Romance
Shraddha Kapoor,Female,2017,Half Girlfriend,Riya Somani,,Romantic drama about complex relationship with emotional themes,Romance,no,Shraddha Kapoor's romantic drama about complex relationship with emotional themes,Romance
Shraddha Kapoor,Female,2017,Haseena Parkar,Haseena Parkar,,Biographical crime drama about gangster's sister with serious themes,Drama/Serious,no,Shraddha Kapoor's biographical crime drama about gangster's sister with serious themes,Thriller/Crime
Shraddha Kapoor,Female,2018,Stree,Girl with No Name,,Horror comedy combining supernatural elements with humor,Fantasy/Sci-Fi/Horror,no,Shraddha Kapoor's horror comedy combining supernatural elements with humor,Fantasy/Sci-Fi/Horror
Shraddha Kapoor,Female,2018,Batti Gul Meter Chalu,"Lalita ""Nauti"" Nautiyal",,Comedy-drama about electricity issues with humor and social message,Comedy,no,Shraddha Kapoor's comedy-drama about electricity issues with humor and social message,Drama/Serious
Shraddha Kapoor,Female,2019,Saaho,"Amritha ""Ammu"" Nair",Bilingual film,Action thriller with spectacular stunts and high-octane sequences,Action/Adventure,no,Shraddha Kapoor's action thriller with spectacular stunts and high-octane sequences,Action/Adventure
Shraddha Kapoor,Female,2019,Chhichhore,Maya Sharma Pathak,,Comedy-drama about college friends with humor and life lessons,Comedy,no,Shraddha Kapoor's comedy-drama about college friends with humor and life lessons,Drama/Serious
Shraddha Kapoor,Female,2020,Street Dancer 3D,Inayat Naazi,,Dance drama about street dancing with spectacular sequences,Drama/Serious,no,Shraddha Kapoor's dance drama about street dancing with spectacular sequences,Drama/Serious
Shraddha Kapoor,Female,2020,Baaghi 3,Siya Nandan,,Action thriller with spectacular stunts and rescue mission,Action/Adventure,no,Shraddha Kapoor's action thriller with spectacular stunts and rescue mission,Action/Adventure
Shraddha Kapoor,Female,2023,Tu Jhoothi Main Makkaar,"Nisha ""Tinni"" Malhotra",,Romantic comedy about relationship lies with humor and love story,Romance,no,Shraddha Kapoor's romantic comedy about relationship lies with humor and love story,Romance
Shraddha Kapoor,Female,2024,Stree 2,She,,Horror comedy sequel combining supernatural elements with humor,Fantasy/Sci-Fi/Horror,no,Shraddha Kapoor's horror comedy sequel combining supernatural elements with humor,Fantasy/Sci-Fi/Horror
Aishwarya Rai,,,,,,,,,,
Kriti Sanon,,,,,,,,,,
Priyanka Chopra,,,,,,,,,,
